Produk,Review,Rating
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,"Bagian kacanya kendur goyang"" . gagangnya ada karatnya gitu saya dari awal sudah bilang mau dipakai Sabtu saya tanya bisa kirim secepatnya atau engga bilangnya akan dikirim secepatnya dikemas lama banget. Dari awal bilang harusnya ga bisa kirim cepet.",2
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Untung muraaah! Pas dibuka copot susah dipasangnya dan gak full. Kacamatanya bau banget aslikkkk!,2
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Tidak mengecewakan.. Harga mungkin murah.. Tapi barangnya mewah..,4
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Barang sampai dengan aman. But aku gak sukanya ternyata frame nya besar banget n diameter kacamatanya agak kekecilan buat aku,4
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Kecewa banget Ama barangnya sebenarnya kualitas untuk kacamata nya bagus tapi percuma kalo gagang penyangga nya ga ada ga bisa dipakai,1
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Bagus . pengiriman cepat . packing aman dengan buble wrap ,5
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Ni barang recomennded si cuman lama ngirimnya,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Product lumayan bagus.,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Kacamatanya gak seimbang/ jingjit pas dipake miring,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Kurang memuaskan .karena barang datang tidak sesuai yang dipesan . kalau emng nggak ada ya jangan dikirim . pemesanan kan berharap nya barang datang sesuai keinginan .ini malah beda!!!,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Pengirimannya lama banget kesel ,2
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Yang di order kuning dan grey tapi yg dateng grey dan pink.,2
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Lumayan murah sesuai hrgnya..,4
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Bagus bngt guys  .sebanding lah dengan harga nya  .sukses selalu bos,4
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,salah warna,1
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Barang sesuai dengan yang diharapkan,5
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,pengiriman lambat wajar kali ya dari kuar negri . tapi its okey. kacamatanya bagus,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Pesen yang grey malah dateng yang brown,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Pesan C10 malah dikirim C9 yang salah tiga kacamata,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Pengiriman lambat,3
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Warna pesanan tidak sesuai dengan yang di kirim,2
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,beli kuning datengnya pink,2
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Bgus banget barang dateng ga mengecewakan pokoknya. Recomended bgt buat jalan. Kualitasnya ga kaleng2. Thx,4
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Barang sangat bagus . . walaupun pengiriman nya agak lama tapi puas saya,4
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Paketnya nyasar ke rumah orang . udh malah jelek lagii hadeuh gua saranin jangan ada yang beli,1
Kacamata Hitam Bentuk Persegi Panjang Gaya Retro Vintage Untuk Wanita,Premium banget kacamatanyaa. Frame tebel nggak takut patah keliatan kuat bgt. Sebagus ini dong,5
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Sebenarnya bagus si tp kegedean,3
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Sbnrnnya bentuknya gada masalah tp di kaca bag kiri ada cacat dan mengganggu pandangan gabisa hilang,3
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Baru pertama kali pesan di toko ini . barang datang sesuai pesanan ga ada yang salah . modelnya bagus . kualitas bagus sesuai ekspektasi . harga murah tapi ga murahan,5
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Brg SDH diterima ... Packing kurang sefty ga ada pelindung bubble wrap ... Gagang ny agak penyok tp bs diperbaiki sendiri ... Tq shopee seller and babang kurir sukses selalu,4
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Tidak sesuai pesanan .,2
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Sudah langganan ya . . .jadi tetep barangny ok banget . . .ga di ragukan lagi . . . .mantullll makasi,5
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Lumayan sesuai harga lensanya engga yg gelap banget mata masih terlihat transparan gitu. Pengiriman lumayan gak lama kok kehitung cuma 7 hari...makasih,4
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Kaca matanya baguss suka banget terimakasih yaa,4
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,Barang dtg hanya 1 pdahal pesan 2 parah bgtt ngga berkah jualannya.,1
Kacamata Hitam Bingkai Bulat Bahan Logam Untuk Pria Dan Wanita,"Paket sudah di terima packing rapih . pengiriman lumayan cepat sih semingguan lah . maklum dari luar negeri . produknya bagus bahannya tebal koko kuat . udah lama mau beli yg medel coklat ini ga jadi"" baru ini tercapai beli . suka banget tinggal ganti ke lensa minus nya . krn matanya minus . Trimakasih seller & kurir yg ramah",5
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Sy kira warna lensanya smoke gitu ternyata silver :),3
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Kecewa dikit sma gagangnya gk bisa dilipat pdhl baru dipakai,3
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,mesennya item silver datengnya item gold,3
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Framenya pas tp batangnya ada yg melengkung,3
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Pengiriman 2mnggu lebih..,2
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Baru Dateng langsng patah pas di buka !!,2
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Bagus sih . tpi agak kurang aja gtu klo buat cowo wkwkwk . terpaksa kasih org deh . lain kali bakalan lebih teliti lagi thx,4
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Gk bakal nyesel harga murah kualitas gk murahan,4
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Kegedean longgar banget gak bisa di pake,1
Kacamata Hitam Pria / Wanita Model Retro Vintage Frame Bulat,Pengiriman lumayan lama da emg dr luar negri tapi ngga mengecewakan sih . kualitasnya Bagus sesuai ekspektasi .,5
Kacamata Retro Gladys Frame Kotak Glasses ,Pengiriman cepat dan barang pun baguss dan baik,3
Kacamata Retro Gladys Frame Kotak Glasses ,biasaa sesuai ssaama harganyaa si murah jugaa tpi emg bagus sii,3
Kacamata Retro Gladys Frame Kotak Glasses ,Pengemasan & pengiriman termasuk lama barangnya bagus sperti di foto,3
Kacamata Retro Gladys Frame Kotak Glasses ,barangnya bagus. tapi sayang banget pengiriman nya lama..,3
Kacamata Retro Gladys Frame Kotak Glasses ,Kacamatanya lengkap tapi semuanya gores2 dan 1 patah. Padahal ini pesenan untuk konsumen loh,2
Kacamata Retro Gladys Frame Kotak Glasses ,Kocak. Pesen yg kotak besar titik 3 malah dikirim yg kotak kecil gitu. Kalo gaada yg kotak besar titik 3 kirimnya yg harganya samaan juga dong. Inimah kan harganya juga beda.,2
Kacamata Retro Gladys Frame Kotak Glasses ,Barang sampai dengan selamat . dan bagus juga barang nya suka love lah . walau harganya terjangkau ya.,4
Kacamata Retro Gladys Frame Kotak Glasses ,Ada suara gitu pas di gerakin kacamata nya jadi gimana gitu pakenya Liat aja di video aku gak ngerti jelasinnya but desain nya lucu thanks,4
Kacamata Retro Gladys Frame Kotak Glasses ,Mungkin karena banyaknya orderan . sampe gak ada quality check nya. Yg pecah dan gak mulus pun dikirim. packaging aman. coba beli di bbrp toko . cuman ini yg pengirimannya lama.,1
Kacamata Retro Gladys Frame Kotak Glasses ,lucu banget . bahannya tebel tapi tetep enteng dan kayk ga gampang patah gitu . framenya dari mika . dipakenya juga nyaman . nyampenya sekitar semingguan dibungkus dgn aman jugaa,5
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Baik tapi pengirimannya lama tapi tetep suka kok trimaksih,3
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Padahal persennya Framenya hitam kacanya Oren tapi yang dateng farme hitam kacanya pun hitam huhu tapi gapapa lah,3
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Bagus sangat . lumayan tebal juga . semoga awet aja . pengiriman standar . untuk batangnya agak menceng jadi kendor makenya,3
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Bagus . cuman salah warna malah item datengnya,3
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,gajelas . jujur aku excited bgt sm kcamata ini dan aku ud nnggu ini dri lama . skitar 1-2 minggu an. dan yg datang wrna hitam . pdhl aku belinya wrna orange. lmyan bgus si bhannya tp ud kburu ksel krna wrnany beda.,2
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,pengiriman cepat tapi pesanan tidak lengkap dan tidak ada konfirmasi terlebih dahulu,2
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,baguss bgtt gilasehh ga expect sebagus ini dengan harga segitu walau lama pengiriman nya lama tapi its okeyy,4
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Nah ini waranya oren bener bener yg oren gt tp bentuknya rada aneh dikit tp kl dipake ttp kece sih keren,4
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Bengkok g bs dipake g simetris,1
Kacamata UV400 Bentuk Oval Gaya Korea Retro Untuk Pria Dan Wanita,Barang datang sesuai pesanan .rapi meski gak pake dus pokoknya suka bgt.bagus bgt thanks seller Dan abg kurir yg baek,5
Kacamata Sport / Olahraga NB Free Lensa Minus,Sebenarnya saya suka dg barangnya pengemasan rapi barang juga lengkap hanya saja sangat disayangkan saya pesan yang minus sudah saya kirimkan/tulis di catatan SPH CYL AX nya dg lengkap tapi yang dtg plano (normal). Syukurnya ada garansi tapi kira2 prosesnya lama atau bagaimana ? ,3
Kacamata Sport / Olahraga NB Free Lensa Minus,Barang bagus . sesuai pesanan. Tp krn pengalaman yg ini ada kecewanya jd cukup tiga bintang. Saran sy . tlg ketentuan khusus gratis lensa diubah/diperjelas . biar transaksi lancar kalau ada pembeli lain yg kondisi matanya spti sy.,3
Kacamata Sport / Olahraga NB Free Lensa Minus,Kualitas produk baik Kecepatan pengiriman baik Harga produk baik Respon penjual standar,3
Kacamata Sport / Olahraga NB Free Lensa Minus,Di keterngan dpat softcase tapi ga ada pas barang sampe..cuma bungkus Kontak biasa,3
Kacamata Sport / Olahraga NB Free Lensa Minus,Mintanya kiri minus 1.5 kanan minus 5... Lakok dikasih minus 5 semua kanan kiri,2
Kacamata Sport / Olahraga NB Free Lensa Minus,Pilih yang transparan malah dikirim yg hitam,2
Kacamata Sport / Olahraga NB Free Lensa Minus,Paket diterima dengan baik respon penjual baik  . ukuran minus jg pas.terimakasih seller ..sukak...semoga barang awett ..semoga lancar trs jg buat seller nya ,4
Kacamata Sport / Olahraga NB Free Lensa Minus,Kualitas produk baik. Harga produk baik. Kecepatan pengiriman baik. Respon penjual baik. walaupun sempat ada salah paham tentang deskripsi produk dan barang yg saya pesan . tetap recommended seller. thanks gan,4
Kacamata Sport / Olahraga NB Free Lensa Minus,Penjual tidak kooperatif. Ditanyakan return kemana jawabannya tidak jelas. Ditanya alamatnya malah suruh order ulang. Kecewa sih barang tdk bisa digunakan krn mau di return ga ada penjelasan,1
Kacamata Sport / Olahraga NB Free Lensa Minus,Setelah coba perhatiin spek masing2 opsi . NB019 ini yang paling pas di muka . ga terlalu gede. Pas nyampe . beuhh ga nyangka 200rb bisa dapet barang sebagus ini. Enak dipakenya . jernih kayak pake kacamata biasa. Sekarang main futsal ga berbayang2 lagi...top,5
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,packing nya ngeri . cuman pake plastik aja kaga di pakein bubble wrap,4
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,ternyata gede bgt si . bahan tebel . lumayan buat harga segitu,3
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,bagus .worth it harga segini .tapi nyampe di tempat .kaca nya malah lepas,3
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,kaca di kacamata nya lepas,3
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,cuma dikirim 1,1
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,Trimakasih kacamatanya bagus .lengkap tdk ada yg pecah semua mudah2an nnti sy bli lagi kedepannya nnti dikasih plastik bubble trimakasih ,5
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,Bagus sih barangnya . tapi ngeri juga packingnya tidak pake bubble wrap,4
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,cocok banget untuk outfit apapun,4
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,ga sesuai pesanan,1
Kacamata Steampunk Hitam Bersepeda Cyberpunk Hip Hop Punk Gaya Retro Eropa Olahraga Wanita Dan Pria,Omg dapet yg affordable bgt! Harga nya murah lg huhu thank you seller,5
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Hidungnya hilang satu . ini b aja menurut ku dibanding kacamata lainnya,3
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Kacamata bagus tapi syang gk bisa di pakai krn penyok,3
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,tdak sama barang dgn gambar,3
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Pas cocok,3
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Tidak sesuai yg d harapkan  . pesanan tdk real peace . mf sy ksih 2,2
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Ga bagus gagang yg satu nya miring melebar jadi dipake nya gak nyaman.. ,2
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Terimakasih pesanan .tp sayang pengiriman nya lama mohon di tingkatkan lagi pelayanan nya,4
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Kacamata nya kaya kacamata mahal ya bagus banget mewah . tapi yang kanan sama yang kiri kaya ngga sama gitu . pengiriman standar . kurir ramah,4
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Barang yang dikirim barang rusak.. ganggangan kacamata satunya gk bisa. Miring sebelah kacamatanya gk bisa dibenarin. Jadi terbuang kacamatanya.,1
Rowling(ka-230)Kacamata Hitam Terbaru Wanita Titanium Style,Alhamdulilah cepet banget pesanan nya sampai cuman 3 hari aja dari jkt ke medan. Pesanan semua lengkap sesuai dengan yang di pesan bagus2 kaca mata nya,5
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Barang sudah di terima pengiriman lumayan lama  . . minus penjepit hidung gojlak sayang banget,3
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Model kacamatanya bagus . minus di pengemasan aja sih. Mungkin tokonya bisa pake box utk pengiriman walaupun harus budget lebih tapi barang kami sampe dengan bagus.,3
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Kemasan pengiriman gak safety . gak ad pelindungnya Alhasil penyangga hidung dan kuping nya pada bengkok.,3
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Tidak ada bubble wrap kacamata dtg dgn keadaan gagang bengkok Untung bisa di akalin,3
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,"Kyknya bahan kurang tebal atau packing yg kurang aman jd pas dateng udh penyok"" semua ",2
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Gak sesuai . masa kacamata nya meleot²,2
